XPath,Tag,Text
"/html","html","Important: Suspension of flights to/from Tel Aviv Show more BOOK MANAGE EXPERIENCE WHERE WE FLY LOYALTY HELP US SEARCH LOG IN Fly and earn DOUBLE TIER MILES across our network Learn more Fly and earn DOUBLE TIER MILES across our network Learn more Search flights Manage booking/Check in What's on your flight Flight status Flight or Flight + Hotel Flight Vacations package Advanced search: multicity  promo codes  partner airlines Departure Airport 30 results found Arrival Airport 30 results found Continue Hotels Car rentals Opens an external link in a new tab Tours & activities Book a vacation Opens an external link in a new tab Dubai Experience Pay in installments Meet & Greet Opens an external link in a new tab Airport transfers Opens an external link in a new tab Featured destinations from New York John F. Kennedy ITALY Milan Book Economy Class Return until 08 May 25 from USD 684* INDIA Hyderabad Book Economy Class Return until 08 May 25 from USD 969* BANGLADESH Dhaka Book Economy Class Return until 08 May 25 from USD 1102* CHINA Shanghai Book Economy Class Return until 08 May 25 from USD 1227* UNITED ARAB EMIRATES Dubai Book Premium Economy Return until 08 May 25 from USD 3025* ITALY Milan Book Business Class Return until 08 May 25 from USD 3348* See more fares redirects to Featured fares See more fares *Terms and conditions apply Explore more destinations Be inspired by our route map SKYWARDS+ Enhance your benefits with Skywards+ Choose from 3 packages loaded with what you love  from airport lounge access and extra baggage allowance  to exclusive Cash+Miles rates and discounts. Learn more Learn more :Enhance your benefits with Skywards+ FLYING WITH EMIRATES Make it an incredible journey Explore the Emirates experience and plan an unforgettable trip beyond your flight. DUBAI EXPERIENCE Create your Dubai Experience Learn more CABIN FEATURES First Class Learn more CABIN FEATURES Business Class Learn more CABIN FEATURES Premium Economy Learn more CABIN FEATURES Economy Class Learn more About us Learn more about our history  our business and sustainability initiatives Our business Our planet Our people Our communities About Us About us Careers Opens an external link in a new tab Media Center Opens an external link in a new tab Our planet Our people Our communities Help Help and Contact Travel Updates Special Assistance Frequently asked questions Book Book flights Travel services Transportation Planning your trip Dubai Experience Manage Check-in Manage Your Booking Chauffeur-drive service Flight status Before you fly Baggage Visa and passport information Health Travel information Dubai International Getting to and from the airport Rules and notices Where we fly Route map Africa Asia and the Pacific Europe The Americas The Middle East Flights to all countries/territories Experience Cabin features Shop Emirates What's on your flight Inflight entertainment Dining Our lounges Dubai Stopover Loyalty Log in to Emirates Skywards Join Emirates Skywards Our partners Business Rewards benefits Register your company Emirates Skywards Program Rules Subscribe to our special offers Save with our latest fares and offers. Unsubscribe or change your preferences Email address Subscribe For details about how we use your information  please see our privacy policy. Emirates App Book and manage your flights on the go. Connect with us Share your Emirates experience. Connect with us on Facebook - Opens an external link in a new tab Connect with us on X-social - Opens an external link in a new tab Connect with us on LinkedIn - Opens an external link in a new tab Connect with us on Youtube - Opens an external link in a new tab Connect with us on Instagram - Opens an external link in a new tab Connect with us on Snapchat - Opens an external link in a new tab Connect with us on Tiktok - Opens an external link in a new tab Accessibility statement Contact us Privacy Policy Terms and conditions Cookie Policy Cybersecurity Modern Slavery Act Transparency Statement Sitemap Customer Service Plan Optional services © 2025 The Emirates Group. All Rights Reserved. We value your privacy We use cookies to help our website function properly  for analytics  marketing and to personalise the content you see. By accepting  you agree to the use of all of these cookies. You can update your preferences by clicking the cookie preferences button or at any time by going to our cookie policy. Cookie preferences Accept"
"/html/body","body","Important: Suspension of flights to/from Tel Aviv Show more BOOK MANAGE EXPERIENCE WHERE WE FLY LOYALTY HELP US SEARCH LOG IN Fly and earn DOUBLE TIER MILES across our network Learn more Fly and earn DOUBLE TIER MILES across our network Learn more Search flights Manage booking/Check in What's on your flight Flight status Flight or Flight + Hotel Flight Vacations package Advanced search: multicity  promo codes  partner airlines Departure Airport 30 results found Arrival Airport 30 results found Continue Hotels Car rentals Opens an external link in a new tab Tours & activities Book a vacation Opens an external link in a new tab Dubai Experience Pay in installments Meet & Greet Opens an external link in a new tab Airport transfers Opens an external link in a new tab Featured destinations from New York John F. Kennedy ITALY Milan Book Economy Class Return until 08 May 25 from USD 684* INDIA Hyderabad Book Economy Class Return until 08 May 25 from USD 969* BANGLADESH Dhaka Book Economy Class Return until 08 May 25 from USD 1102* CHINA Shanghai Book Economy Class Return until 08 May 25 from USD 1227* UNITED ARAB EMIRATES Dubai Book Premium Economy Return until 08 May 25 from USD 3025* ITALY Milan Book Business Class Return until 08 May 25 from USD 3348* See more fares redirects to Featured fares See more fares *Terms and conditions apply Explore more destinations Be inspired by our route map SKYWARDS+ Enhance your benefits with Skywards+ Choose from 3 packages loaded with what you love  from airport lounge access and extra baggage allowance  to exclusive Cash+Miles rates and discounts. Learn more Learn more :Enhance your benefits with Skywards+ FLYING WITH EMIRATES Make it an incredible journey Explore the Emirates experience and plan an unforgettable trip beyond your flight. DUBAI EXPERIENCE Create your Dubai Experience Learn more CABIN FEATURES First Class Learn more CABIN FEATURES Business Class Learn more CABIN FEATURES Premium Economy Learn more CABIN FEATURES Economy Class Learn more About us Learn more about our history  our business and sustainability initiatives Our business Our planet Our people Our communities About Us About us Careers Opens an external link in a new tab Media Center Opens an external link in a new tab Our planet Our people Our communities Help Help and Contact Travel Updates Special Assistance Frequently asked questions Book Book flights Travel services Transportation Planning your trip Dubai Experience Manage Check-in Manage Your Booking Chauffeur-drive service Flight status Before you fly Baggage Visa and passport information Health Travel information Dubai International Getting to and from the airport Rules and notices Where we fly Route map Africa Asia and the Pacific Europe The Americas The Middle East Flights to all countries/territories Experience Cabin features Shop Emirates What's on your flight Inflight entertainment Dining Our lounges Dubai Stopover Loyalty Log in to Emirates Skywards Join Emirates Skywards Our partners Business Rewards benefits Register your company Emirates Skywards Program Rules Subscribe to our special offers Save with our latest fares and offers. Unsubscribe or change your preferences Email address Subscribe For details about how we use your information  please see our privacy policy. Emirates App Book and manage your flights on the go. Connect with us Share your Emirates experience. Connect with us on Facebook - Opens an external link in a new tab Connect with us on X-social - Opens an external link in a new tab Connect with us on LinkedIn - Opens an external link in a new tab Connect with us on Youtube - Opens an external link in a new tab Connect with us on Instagram - Opens an external link in a new tab Connect with us on Snapchat - Opens an external link in a new tab Connect with us on Tiktok - Opens an external link in a new tab Accessibility statement Contact us Privacy Policy Terms and conditions Cookie Policy Cybersecurity Modern Slavery Act Transparency Statement Sitemap Customer Service Plan Optional services © 2025 The Emirates Group. All Rights Reserved. We value your privacy We use cookies to help our website function properly  for analytics  marketing and to personalise the content you see. By accepting  you agree to the use of all of these cookies. You can update your preferences by clicking the cookie preferences button or at any time by going to our cookie policy. Cookie preferences Accept"
"/html/body/div","div","Important: Suspension of flights to/from Tel Aviv Show more"
"/html/body/div/div","div","Important: Suspension of flights to/from Tel Aviv Show more"
"/html/body/div/div/div","div","Important: Suspension of flights to/from Tel Aviv Show more"
"/html/body/div/div/div/p","p","Important: Suspension of flights to/from Tel Aviv"
"/html/body/div/div/div/p/span","span","Important:"
"/html/body/div/div/div/p/span/i","i",""
"/html/body/div/div/div/p/span/span","span","Important:"
"/html/body/div/div/div/p/a","a","Suspension of flights to/from Tel Aviv"
"/html/body/div/div/div/span","span","Show more"
"/html/body/div/div/div/span/button","button","Show more"
"/html/body/div/div/div/span/button/span","span","Show more"
"/html/body/div/div/div/span/button/i","i",""
"/html/body/nav","nav","BOOK MANAGE EXPERIENCE WHERE WE FLY LOYALTY HELP US SEARCH LOG IN"
"/html/body/nav/div","div","BOOK MANAGE EXPERIENCE WHERE WE FLY LOYALTY HELP US SEARCH LOG IN"
"/html/body/nav/div/div","div","BOOK MANAGE EXPERIENCE WHERE WE FLY LOYALTY HELP US SEARCH LOG IN"
"/html/body/nav/div/div/div","div",""
"/html/body/nav/div/div/div[2]","div",""
"/html/body/nav/div/div/div[2]/a","a",""
"/html/body/nav/div/div/div[2]/a/img","img",""
"/html/body/nav/div/div/div[4]","div","BOOK MANAGE EXPERIENCE WHERE WE FLY LOYALTY HELP"
"/html/body/nav/div/div/div[4]/div","div","BOOK MANAGE EXPERIENCE WHERE WE FLY LOYALTY HELP"
"/html/body/nav/div/div/div[4]/div/ul","ul","BOOK MANAGE EXPERIENCE WHERE WE FLY LOYALTY HELP"
"/html/body/nav/div/div/div[4]/div/ul/li","li","BOOK"
"/html/body/nav/div/div/div[4]/div/ul/li/button","button","BOOK"
"/html/body/nav/div/div/div[4]/div/ul/li[2]","li","MANAGE"
"/html/body/nav/div/div/div[4]/div/ul/li[2]/button","button","MANAGE"
"/html/body/nav/div/div/div[4]/div/ul/li[3]","li","EXPERIENCE"
"/html/body/nav/div/div/div[4]/div/ul/li[3]/button","button","EXPERIENCE"
"/html/body/nav/div/div/div[4]/div/ul/li[4]","li","WHERE WE FLY"
"/html/body/nav/div/div/div[4]/div/ul/li[4]/button","button","WHERE WE FLY"
"/html/body/nav/div/div/div[4]/div/ul/li[5]","li","LOYALTY"
"/html/body/nav/div/div/div[4]/div/ul/li[5]/button","button","LOYALTY"
"/html/body/nav/div/div/div[4]/div/ul/li[6]","li","HELP"
"/html/body/nav/div/div/div[4]/div/ul/li[6]/button","button","HELP"
"/html/body/nav/div/div/div[5]","div","US SEARCH LOG IN"
"/html/body/nav/div/div/div[5]/ul","ul","US SEARCH LOG IN"
"/html/body/nav/div/div/div[5]/ul/li","li","US"
"/html/body/nav/div/div/div[5]/ul/li/a","a","US"
"/html/body/nav/div/div/div[5]/ul/li/a/span","span",""
"/html/body/nav/div/div/div[5]/ul/li/a/span[2]","span","US"
"/html/body/nav/div/div/div[5]/ul/li[2]","li","SEARCH"
"/html/body/nav/div/div/div[5]/ul/li[2]/a","a","SEARCH"
"/html/body/nav/div/div/div[5]/ul/li[2]/a/span","span",""
"/html/body/nav/div/div/div[5]/ul/li[2]/a/span[2]","span","SEARCH"
"/html/body/nav/div/div/div[5]/ul/li[3]","li","LOG IN"
"/html/body/nav/div/div/div[5]/ul/li[3]/a","a","LOG IN"
"/html/body/nav/div/div/div[5]/ul/li[3]/a/span","span",""
"/html/body/nav/div/div/div[5]/ul/li[3]/a/span[2]","span","LOG IN"
"/html/body/main","main","Fly and earn DOUBLE TIER MILES across our network Learn more Fly and earn DOUBLE TIER MILES across our network Learn more Search flights Manage booking/Check in What's on your flight Flight status Flight or Flight + Hotel Flight Vacations package Advanced search: multicity  promo codes  partner airlines Departure Airport 30 results found Arrival Airport 30 results found Continue Hotels Car rentals Opens an external link in a new tab Tours & activities Book a vacation Opens an external link in a new tab Dubai Experience Pay in installments Meet & Greet Opens an external link in a new tab Airport transfers Opens an external link in a new tab Featured destinations from New York John F. Kennedy ITALY Milan Book Economy Class Return until 08 May 25 from USD 684* INDIA Hyderabad Book Economy Class Return until 08 May 25 from USD 969* BANGLADESH Dhaka Book Economy Class Return until 08 May 25 from USD 1102* CHINA Shanghai Book Economy Class Return until 08 May 25 from USD 1227* UNITED ARAB EMIRATES Dubai Book Premium Economy Return until 08 May 25 from USD 3025* ITALY Milan Book Business Class Return until 08 May 25 from USD 3348* See more fares redirects to Featured fares See more fares *Terms and conditions apply Explore more destinations Be inspired by our route map SKYWARDS+ Enhance your benefits with Skywards+ Choose from 3 packages loaded with what you love  from airport lounge access and extra baggage allowance  to exclusive Cash+Miles rates and discounts. Learn more Learn more :Enhance your benefits with Skywards+ FLYING WITH EMIRATES Make it an incredible journey Explore the Emirates experience and plan an unforgettable trip beyond your flight. DUBAI EXPERIENCE Create your Dubai Experience Learn more CABIN FEATURES First Class Learn more CABIN FEATURES Business Class Learn more CABIN FEATURES Premium Economy Learn more CABIN FEATURES Economy Class Learn more About us Learn more about our history  our business and sustainability initiatives Our business Our planet Our people Our communities"
"/html/body/main/div","div","Fly and earn DOUBLE TIER MILES across our network Learn more Fly and earn DOUBLE TIER MILES across our network Learn more"
"/html/body/main/div/div","div","Fly and earn DOUBLE TIER MILES across our network Learn more Fly and earn DOUBLE TIER MILES across our network Learn more"
"/html/body/main/div/div/div","div",""
"/html/body/main/div/div/div/picture","picture",""
"/html/body/main/div/div/div/picture/img","img",""
"/html/body/main/div/div/div[2]","div","Fly and earn DOUBLE TIER MILES across our network Learn more Fly and earn DOUBLE TIER MILES across our network Learn more"
"/html/body/main/div/div/div[2]/div","div","Fly and earn DOUBLE TIER MILES across our network Learn more Fly and earn DOUBLE TIER MILES across our network Learn more"
"/html/body/main/div/div/div[2]/div/h1","h1","Fly and earn DOUBLE TIER MILES across our network"
"/html/body/main/div/div/div[2]/div/h1/span","span","Fly and earn"
"/html/body/main/div/div/div[2]/div/h1/span[2]","span","DOUBLE TIER MILES across our network"
"/html/body/main/div/div/div[2]/div/h1/span[2]/span","span","DOUBLE TIER MILES"
"/html/body/main/div/div/div[2]/div/h1/span[2]/span[2]","span","across our network"
"/html/body/main/div/div/div[2]/div/a","a","Learn more Fly and earn DOUBLE TIER MILES across our network Learn more"
"/html/body/main/div/div/div[2]/div/a/span","span","Learn more Fly and earn DOUBLE TIER MILES across our network"
"/html/body/main/div/div/div[2]/div/a/span[2]","span","Learn more"
"/html/body/main/div/div/div[2]/div[2]","div",""
"/html/body/main/div/div/div[2]/div[2]/a","a",""
"/html/body/main/div/div/div[2]/div[2]/a/img","img",""
"/html/body/main/div[2]","div","Search flights Manage booking/Check in What's on your flight Flight status Flight or Flight + Hotel Flight Vacations package Advanced search: multicity  promo codes  partner airlines Departure Airport 30 results found Arrival Airport 30 results found Continue"
"/html/body/main/div[2]/div","div","Search flights Manage booking/Check in What's on your flight Flight status Flight or Flight + Hotel Flight Vacations package Advanced search: multicity  promo codes  partner airlines Departure Airport 30 results found Arrival Airport 30 results found Continue"
"/html/body/main/div[2]/div/div","div","Search flights Manage booking/Check in What's on your flight Flight status Flight or Flight + Hotel Flight Vacations package Advanced search: multicity  promo codes  partner airlines Departure Airport 30 results found Arrival Airport 30 results found Continue"
"/html/body/main/div[2]/div/div/ul","ul","Search flights Manage booking/Check in What's on your flight Flight status"
"/html/body/main/div[2]/div/div/ul/li","li","Search flights"
"/html/body/main/div[2]/div/div/ul/li/a","a","Search flights"
"/html/body/main/div[2]/div/div/ul/li/a/div","div","Search flights"
"/html/body/main/div[2]/div/div/ul/li/a/div/i","i",""
"/html/body/main/div[2]/div/div/ul/li/a/div/p","p","Search flights"
"/html/body/main/div[2]/div/div/ul/li[2]","li","Manage booking/Check in"
"/html/body/main/div[2]/div/div/ul/li[2]/a","a","Manage booking/Check in"
"/html/body/main/div[2]/div/div/ul/li[2]/a/div","div","Manage booking/Check in"
"/html/body/main/div[2]/div/div/ul/li[2]/a/div/i","i",""
"/html/body/main/div[2]/div/div/ul/li[2]/a/div/p","p","Manage booking/Check in"
"/html/body/main/div[2]/div/div/ul/li[3]","li","What's on your flight"
"/html/body/main/div[2]/div/div/ul/li[3]/a","a","What's on your flight"
"/html/body/main/div[2]/div/div/ul/li[3]/a/div","div","What's on your flight"
"/html/body/main/div[2]/div/div/ul/li[3]/a/div/i","i",""
"/html/body/main/div[2]/div/div/ul/li[3]/a/div/p","p","What's on your flight"
"/html/body/main/div[2]/div/div/ul/li[4]","li","Flight status"
"/html/body/main/div[2]/div/div/ul/li[4]/a","a","Flight status"
"/html/body/main/div[2]/div/div/ul/li[4]/a/div","div","Flight status"
"/html/body/main/div[2]/div/div/ul/li[4]/a/div/i","i",""
"/html/body/main/div[2]/div/div/ul/li[4]/a/div/p","p","Flight status"
"/html/body/main/div[2]/div/div/div","div","Flight or Flight + Hotel Flight Vacations package Advanced search: multicity  promo codes  partner airlines Departure Airport 30 results found Arrival Airport 30 results found Continue"
"/html/body/main/div[2]/div/div/div/div","div","Flight or Flight + Hotel Flight Vacations package Advanced search: multicity  promo codes  partner airlines Departure Airport 30 results found Arrival Airport 30 results found Continue"
"/html/body/main/div[2]/div/div/div/div/div","div","Flight or Flight + Hotel Flight Vacations package Advanced search: multicity  promo codes  partner airlines Departure Airport 30 results found Arrival Airport 30 results found Continue"
"/html/body/main/div[2]/div/div/div/div/div/div","div","Flight or Flight + Hotel Flight Vacations package Advanced search: multicity  promo codes  partner airlines Departure Airport 30 results found Arrival Airport 30 results found Continue"
"/html/body/main/div[2]/div/div/div/div/div/div/div","div","Flight or Flight + Hotel Flight Vacations package"
"/html/body/main/div[2]/div/div/div/div/div/div/div/fieldset","fieldset","Flight or Flight + Hotel Flight Vacations package"
"/html/body/main/div[2]/div/div/div/div/div/div/div/fieldset/legend","legend","Flight or Flight + Hotel"
"/html/body/main/div[2]/div/div/div/div/div/div/div/fieldset/div","div","Flight Vacations package"
"/html/body/main/div[2]/div/div/div/div/div/div/div/fieldset/div/div","div","Flight"
"/html/body/main/div[2]/div/div/div/div/div/div/div/fieldset/div/div/label","label","Flight"
"/html/body/main/div[2]/div/div/div/div/div/div/div/fieldset/div/div[2]","div","Vacations package"
"/html/body/main/div[2]/div/div/div/div/div/div/div/fieldset/div/div[2]/label","label","Vacations package"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]","div","Advanced search: multicity  promo codes  partner airlines Departure Airport 30 results found Arrival Airport 30 results found Continue"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section","section","Advanced search: multicity  promo codes  partner airlines Departure Airport 30 results found Arrival Airport 30 results found Continue"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div","div","Advanced search: multicity  promo codes  partner airlines"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div/div","div","Advanced search: multicity  promo codes  partner airlines"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div/div/div","div",""
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div/div/div[2]","div","Advanced search: multicity  promo codes  partner airlines"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div/div/div[2]/a","a","Advanced search: multicity  promo codes  partner airlines"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div/div/div[2]/a/span","span",""
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]","div","Departure Airport 30 results found Arrival Airport 30 results found Continue"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div","div","Departure Airport 30 results found Arrival Airport 30 results found Continue"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div","div","Departure Airport 30 results found Arrival Airport 30 results found"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div/div","div","Departure Airport 30 results found Arrival Airport 30 results found"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div/div/div","div","Departure Airport 30 results found"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div/div/div/div","div","Departure Airport 30 results found"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div/div/div/div/div","div","Departure Airport 30 results found"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div/div/div/div/div/div","div","Departure Airport 30 results found"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div/div/div/div/div/div/div","div","Departure Airport 30 results found"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div/div/div/div/div/div/div/label","label","Departure Airport"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div/div/div/div/div/div/div/input","input",""
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div/div/div/div/div/div/div/div","div","30 results found"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div/div/div/div/div/div/div/button","button",""
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div/div/div/div/div/div/i","i",""
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div/div/div[2]","div","Arrival Airport 30 results found"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div/div/div[2]/div","div","Arrival Airport 30 results found"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div/div/div[2]/div/div","div","Arrival Airport 30 results found"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div/div/div[2]/div/div/div","div","Arrival Airport 30 results found"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div/div/div[2]/div/div/div/div","div","Arrival Airport 30 results found"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div/div/div[2]/div/div/div/div/label","label","Arrival Airport"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div/div/div[2]/div/div/div/div/input","input",""
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div/div/div[2]/div/div/div/div/div","div","30 results found"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div[2]","div",""
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div[4]","div","Continue"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div[4]/button","button","Continue"
"/html/body/main/div[2]/div/div/div/div/div/div/div[2]/section/div[4]/div/div[4]/button/span","span","Continue"
"/html/body/main/div[3]","div","Hotels Car rentals Opens an external link in a new tab Tours & activities Book a vacation Opens an external link in a new tab Dubai Experience Pay in installments Meet & Greet Opens an external link in a new tab Airport transfers Opens an external link in a new tab"
"/html/body/main/div[3]/section","section","Hotels Car rentals Opens an external link in a new tab Tours & activities Book a vacation Opens an external link in a new tab Dubai Experience Pay in installments Meet & Greet Opens an external link in a new tab Airport transfers Opens an external link in a new tab"
